Date,Region,Report_Text
01/09/2020,SPP,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
01/09/2020,CISO,Cyber event that could potentially impact electric power system adequacy or reliability.
01/09/2020,MISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
01/09/2020,SPP,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.
01/10/2020,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
01/11/2020,SPP,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
01/11/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
01/11/2020,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more."
01/11/2020,SERC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.
01/11/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
01/12/2020,ERCO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
01/14/2020,FPL,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
01/16/2020,ERCO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
01/17/2020,CISO,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.
01/20/2020,CISO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
01/22/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
01/23/2020,FPL,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
01/24/2020,CISO,Fuel supply emergencies that could impact electric power system adequacy or reliability.
01/27/2020,MISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
01/30/2020,MISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
01/31/2020,CISO,Cyber event that could potentially impact electric power system adequacy or reliability.
02/06/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/06/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/07/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/07/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/07/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/07/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/08/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
02/09/2020,CISO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/11/2020,ERCO,Cyber event that could potentially impact electric power system adequacy or reliability.
02/11/2020,CISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
02/12/2020,NYIS,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
02/13/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
02/17/2020,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.
02/17/2020,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
02/17/2020,CISO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/18/2020,CISO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
02/25/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
02/26/2020,SPP,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
02/26/2020,NYIS,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
02/26/2020,MISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
02/29/2020,CISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
03/01/2020,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
03/01/2020,NYIS,Damage or destruction of its Facility that results from actual or suspected intentional human action.
03/01/2020,NYIS,Fuel supply emergencies that could impact electric power system adequacy or reliability.
03/02/2020,CISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
03/03/2020,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.
03/08/2020,ERCO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
03/12/2020,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
03/16/2020,CISO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
03/16/2020,CISO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
03/16/2020,CISO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
03/17/2020,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
03/18/2020,CISO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
03/19/2020,MISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
03/20/2020,NYIS,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
03/20/2020,NYIS,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
03/20/2020,NYIS,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
03/23/2020,MISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
03/23/2020,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
03/24/2020,CISO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
03/24/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
03/25/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
03/26/2020,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
03/27/2020,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
03/27/2020,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
03/29/2020,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
03/31/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/01/2020,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
04/02/2020,ERCO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
04/02/2020,MISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
